@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2}

@data
423,'2018/04/02 10:01:47:560',1,166.52739,1
424,'2018/04/02 10:01:47:593',1,166.809036,1
425,'2018/04/02 10:01:47:627',1,166.999557,1
426,'2018/04/02 10:01:47:658',1,167.086044,1
427,'2018/04/02 10:01:47:690',1,166.786346,1
428,'2018/04/02 10:01:47:723',1,166.856476,1
429,'2018/04/02 10:01:47:756',1,166.904053,1
430,'2018/04/02 10:01:47:788',1,166.848114,1
431,'2018/04/02 10:01:47:835',1,167.141266,1
432,'2018/04/02 10:01:47:868',1,167.488144,1
433,'2018/04/02 10:01:47:901',1,167.684692,1
434,'2018/04/02 10:01:47:932',1,168.049118,1
435,'2018/04/02 10:01:47:965',1,167.968277,1
436,'2018/04/02 10:01:47:996',1,167.917221,1
437,'2018/04/02 10:01:48:031',1,167.752884,1
438,'2018/04/02 10:01:48:059',1,167.51152,1
439,'2018/04/02 10:01:48:094',1,168.471207,1
440,'2018/04/02 10:01:48:122',1,167.909622,1
441,'2018/04/02 10:01:48:152',1,167.665359,1
442,'2018/04/02 10:01:48:184',1,167.440781,1
443,'2018/04/02 10:01:48:231',1,167.260239,1
444,'2018/04/02 10:01:48:262',1,167.418228,1
445,'2018/04/02 10:01:48:296',1,167.629349,1
446,'2018/04/02 10:01:48:327',1,168.33345,1
447,'2018/04/02 10:01:48:359',1,168.441284,1
448,'2018/04/02 10:01:48:391',1,167.631485,1
449,'2018/04/02 10:01:48:427',1,167.435501,1
450,'2018/04/02 10:01:48:455',1,167.447266,1
451,'2018/04/02 10:01:48:487',1,167.589371,1
452,'2018/04/02 10:01:48:520',1,167.229843,1
453,'2018/04/02 10:01:48:552',1,167.259048,1
454,'2018/04/02 10:01:48:599',1,167.260101,1
455,'2018/04/02 10:01:48:631',1,167.660172,1
456,'2018/04/02 10:01:48:666',1,167.504669,1
457,'2018/04/02 10:01:48:697',1,168.034485,1
458,'2018/04/02 10:01:48:727',1,167.952271,1
459,'2018/04/02 10:01:48:758',1,167.960556,1
460,'2018/04/02 10:01:48:791',1,168.148544,1
461,'2018/04/02 10:01:48:825',1,168.003586,1
462,'2018/04/02 10:01:48:855',1,168.142273,1
463,'2018/04/02 10:01:48:887',1,168.072083,1
464,'2018/04/02 10:01:48:921',1,168.35968,1
465,'2018/04/02 10:01:48:953',1,167.748489,1
466,'2018/04/02 10:01:48:999',1,167.287552,1
467,'2018/04/02 10:01:49:034',1,167.932968,1
468,'2018/04/02 10:01:49:064',1,167.498169,1
469,'2018/04/02 10:01:49:096',1,167.426651,1
470,'2018/04/02 10:01:49:128',1,167.457275,1
471,'2018/04/02 10:01:49:158',1,167.243637,1
472,'2018/04/02 10:01:49:190',1,167.282501,1
473,'2018/04/02 10:01:49:222',1,167.173294,1
474,'2018/04/02 10:01:49:255',1,167.498077,1
475,'2018/04/02 10:01:49:289',1,167.330261,1
476,'2018/04/02 10:01:49:321',1,167.400406,1
477,'2018/04/02 10:01:49:353',1,167.364517,1
478,'2018/04/02 10:01:49:399',1,167.460327,1
479,'2018/04/02 10:01:49:432',1,167.464844,1
480,'2018/04/02 10:01:49:465',1,167.124619,1
481,'2018/04/02 10:01:49:496',1,167.251556,1
482,'2018/04/02 10:01:49:527',1,167.047577,1
